LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID5820,5820,11,14.096736907958984,402.84228635420357,425.0232603715257,0.0,85.4221303,29,37.5,1,,58659.70625256024,59889.0,38988.0,65535.0,1.575189092E9,4770.192749780773,0.43977866461958887,7.512290505786436
ID5821,5821,12,14.95356559753418,381.9423819052632,555.5774858682462,0.0,85.4221303,29,37.5,1,,60163.267642349085,60679.0,48990.0,65535.0,1.615564226E9,3191.9516564569476,0.4546467130723795,11.782070910980675
ID5822,5822,13,17.31153678894043,623.9265751421094,667.9984194465143,0.0,85.4221303,29,37.5,1,,59949.95169999627,60408.0,48021.0,65535.0,1.609836053E9,3833.8427862616154,0.5796901147378235,11.47647532924358
ID5823,5823,14,15.937911987304688,314.7660602522606,696.5805073542331,0.0,85.4221303,29,37.5,1,,60147.53938107474,60143.0,52970.0,65535.0,1.615141875E9,2681.8561325120627,0.5085048384346423,15.120312477804335
ID5856,5856,15,15.863635063171387,763.3712748971917,766.6836427903676,0.0,88.36772100000002,30,37.5,1,,61713.39347558932,62743.0,47180.0,65535.0,1.657189755E9,3743.3586743128626,0.5037670375498873,11.04579982362535
ID5841,5841,0,14.73031997680664,447.24111312283515,75.96141920033659,0.0,88.36772100000002,30,37.5,1,,55816.304509738206,56302.0,44573.0,62593.0,1.498835225E9,3175.969833562136,0.5009613795952041,11.731388972680598
ID5842,5842,1,16.01905632019043,236.12508032520157,112.71166469507,0.0,88.36772100000002,30,37.5,1,,54202.69284623692,54668.0,43485.0,63125.0,1.455504911E9,4164.880643343575,0.5918425355230986,9.677303647546397
ID5843,5843,2,16.178327560424805,756.1192067824257,121.08464946302426,0.0,88.36772100000002,30,37.5,1,,56831.739619409374,57303.0,43259.0,64515.0,1.526102704E9,3591.103181103235,0.5630888843418621,11.402139276393855
ID5844,5844,3,15.065032958984375,61.23093401885032,194.73053326867463,0.0,88.36772100000002,30,37.5,1,,56542.92876028749,57128.0,42934.0,65535.0,1.518347266E9,3405.5842730474487,0.5367931537020404,11.598670608763898
ID5845,5845,4,15.212560653686523,499.02234276687915,233.03337248420505,0.0,88.36772100000002,30,37.5,1,,58299.860797676236,59139.0,44948.0,65535.0,1.565526162E9,3607.2050925657495,0.49460155802689276,10.696870237852126
ID5846,5846,5,14.982747077941895,233.6281687424389,271.60985158995544,0.0,88.36772100000002,30,37.5,1,,54715.48460134808,55229.0,41932.0,64857.0,1.469274908E9,3468.5195661573525,0.545965800829464,11.141961513340497
ID5847,5847,6,13.982027053833008,329.24887240163287,340.2777000618855,0.0,88.36772100000002,30,37.5,1,,58765.24027110565,59264.0,42063.0,65361.0,1.578022997E9,3035.3625607305435,0.4397226608248151,11.826056394314291
ID5848,5848,7,13.59374713897705,480.782720121463,349.09275958330875,0.0,88.36772100000002,30,37.5,1,,59941.806055189365,60701.0,47845.0,65535.0,1.609617318E9,3724.472442453998,0.3953767301425444,9.120416754010494
ID5849,5849,8,14.816178321838379,652.7098339159953,360.5977639515483,0.0,88.36772100000002,30,37.5,1,,58277.055450042826,58485.0,49807.0,64951.0,1.56491377E9,2769.6761944131867,0.4756294174475915,13.564069324522682
ID5850,5850,9,13.9880952835083,188.5301508652053,394.3438143348199,0.0,88.36772100000002,30,37.5,1,,56776.318847056194,57540.0,43580.0,65535.0,1.52461449E9,3895.048149557188,0.44644980594788064,8.998159085419731
ID5851,5851,10,14.414772033691406,76.33181476901886,402.1249089342547,0.0,88.36772100000002,30,37.5,1,,55383.94611402823,56786.0,40239.0,63000.0,1.487225105E9,4281.555060610695,0.48954209505896384,8.5025583181138
ID5852,5852,11,14.102027893066406,402.81172596087356,425.0737552983567,0.0,88.36772100000002,30,37.5,1,,58679.72628756564,59885.0,38384.0,65535.0,1.57572669E9,4753.542144683181,0.43971118255256386,7.540373509299583
ID5853,5853,12,14.94523811340332,382.0380651052817,555.6774969592021,0.0,88.36772100000002,30,37.5,1,,60147.389230253604,60646.0,48856.0,65535.0,1.615137843E9,3195.0638179814737,0.4543800171237976,11.762741806104595
ID5854,5854,13,17.312503814697266,623.8288420905092,667.9030013332728,0.0,88.36772100000002,30,37.5,1,,59933.13722861505,60400.0,47428.0,65535.0,1.609384534E9,3839.4158793041806,0.579804754985335,11.45803663777954
ID5855,5855,14,15.939857482910156,314.767648461736,696.5480884375492,0.0,88.36772100000002,30,37.5,1,,60152.10125498082,60148.0,52694.0,65535.0,1.615264375E9,2687.7492930268427,0.5084956030904674,15.088122296328898
ID5952,5952,15,15.86864948272705,763.3625613896297,766.6673105519106,0.0,91.31331170000001,31,37.5,1,,61729.12482776598,62748.0,47519.0,65535.0,1.657612189E9,3734.32399784678,0.5038035576837798,11.07588000317744
