LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID11648,11648,0,12.584012031555176,186.20886535978545,208.56684557858347,0.0,0.0,0,37.5,1,,60994.403157933935,62611.0,41276.0,65535.0,1.637882708E9,4900.957812024213,0.3494216434430958,6.445270487985593
ID11649,11649,1,13.640543937683105,655.7822964462077,258.6612588192726,0.0,0.0,0,37.5,1,,57536.58600528805,57995.0,43255.0,65535.0,1.545029944E9,5082.983235614343,0.40020530273450117,6.470629420202331
ID11650,11650,2,15.207880973815918,365.4297977890137,265.5753462720801,0.0,0.0,0,37.5,1,,49683.23643540759,50332.0,38727.0,58116.0,1.334143948E9,3989.8474555926073,0.6360532385049692,9.682324172026089
ID11651,11651,3,12.585330963134766,108.23408356447793,276.7618546176092,0.0,0.0,0,37.5,1,,49353.549175138716,51662.0,23769.0,60557.0,1.325290856E9,7428.110908868374,0.4448392703074677,4.09122710852811
ID11652,11652,4,14.087335586547852,545.2095199456344,352.7588230589032,0.0,0.0,0,37.5,1,,51609.30071127993,52137.0,38956.0,60362.0,1.385864552E9,4516.136656179428,0.5080937263662156,7.700277820189947
ID11653,11653,5,14.527626037597656,684.3740354012671,353.9412342638588,0.0,0.0,0,37.5,1,,57409.27036085354,58730.0,35376.0,65535.0,1.541611137E9,5618.39477000039,0.45121313408126146,6.354045264251247
ID11654,11654,6,14.578156471252441,82.96679670527433,397.01729754094845,0.0,0.0,0,37.5,1,,57087.616951551034,57686.0,45679.0,62862.0,1.532973778E9,2898.0281433445966,0.47811691499171566,12.74367340951547
ID11655,11655,7,12.715234756469727,691.9625441487135,515.6448777437095,0.0,0.0,0,37.5,1,,51701.817525043756,53104.0,33676.0,65535.0,1.388348906E9,6005.458780501566,0.4279206432757081,5.159989065383386
ID11656,11656,8,13.810728073120117,730.6700148735683,612.9871331454459,0.0,0.0,0,37.5,1,,56066.63687483707,57971.0,34894.0,65535.0,1.5055574E9,6102.313818572768,0.43672581229302065,5.585665581149796
ID11657,11657,9,15.73697566986084,158.42584536422024,752.274817992809,0.0,0.0,0,37.5,1,,54030.01668342457,54418.0,10726.0,63279.0,1.450868038E9,4432.2383939985775,0.5752210264032995,8.902976731068119
ID11644,11644,10,8.479283332824707,181.9196673222651,73.52113748248169,0.0,0.0,0,37.5,1,,37615.16270062935,36904.0,21077.0,52142.0,1.010079964E9,6820.343359626823,0.36824039572240713,2.968627604330675
ID11645,11645,11,13.127791404724121,97.36713159901309,124.41739056157408,0.0,0.0,0,37.5,1,,53913.04137340334,56209.0,29953.0,63643.0,1.4477269E9,6648.788274772795,0.42717928518289894,4.854147575755651
ID11646,11646,12,15.019712448120117,635.3331753263277,149.1617001364594,0.0,0.0,0,37.5,1,,59023.328715599746,59616.0,44725.0,65535.0,1.584953446E9,3473.7037785428965,0.4761081259005051,10.960953516261013
ID11647,11647,13,5.9436845779418945,831.59375,156.8125,0.0,0.0,0,37.5,1,,7003.134919748259,3042.0,0.0,56764.0,1.88055182E8,11600.425574408348,0.706831412042285,0.5000043488128444
ID11658,11658,10,8.472861289978027,181.82958919769538,73.47313577895149,0.0,2.9323921,1,37.5,1,,37581.328380441664,36877.0,20706.0,51906.0,1.009171411E9,6832.050456546662,0.36803401392802876,2.9596620259626207
ID11659,11659,11,13.115140914916992,97.30745857934929,124.44464285305996,0.0,2.9323921,1,37.5,1,,53910.120135552825,56123.0,30280.0,63976.0,1.447648456E9,6595.274113134423,0.42712323880660935,4.89281919829443
ID11660,11660,12,15.015640258789062,635.4198749612319,149.22117829693343,0.0,2.9323921,1,37.5,1,,59008.353144900015,59645.0,44433.0,65535.0,1.584551307E9,3473.9674116981582,0.4761109689688413,10.957385202142168
ID11661,11661,13,6.089064121246338,831.59375,156.8125,0.0,2.9323921,1,37.5,1,,7159.537668044539,3075.0,0.0,58769.0,1.92255065E8,11840.832918333195,0.7104789179802986,0.5023034845104477
ID11662,11662,0,12.583671569824219,186.05625349150407,208.54251207007516,0.0,2.9323921,1,37.5,1,,60947.678471679144,62576.0,41733.0,65535.0,1.63662801E9,4943.0649593080225,0.34973692271165596,6.38974021648543
ID11663,11663,1,13.649367332458496,656.103186032454,258.712249247523,0.0,2.9323921,1,37.5,1,,57501.86038803858,57975.0,43172.0,65535.0,1.544097457E9,5114.604584818813,0.4007761298763977,6.433287239321685
ID11664,11664,2,15.205177307128906,365.41571879252547,265.4662188575572,0.0,2.9323921,1,37.5,1,,49635.09853647637,50277.0,38453.0,58383.0,1.332851301E9,4025.320657601936,0.6362323841096793,9.58935041472908
ID11665,11665,3,12.590849876403809,108.3900650372244,276.9258498017848,0.0,2.9323921,1,37.5,1,,49370.147357837115,51647.0,23292.0,60353.0,1.325736567E9,7395.299760581507,0.44490899667861294,4.111206861184009
ID11666,11666,4,14.100595474243164,545.2629845565481,352.670789291097,0.0,2.9323921,1,37.5,1,,51651.3148251592,52217.0,38273.0,60185.0,1.386992757E9,4510.9015193030555,0.5083398125010895,7.71796777997469
ID11667,11667,5,14.526987075805664,684.3784566915759,354.03633045156545,0.0,2.9323921,1,37.5,1,,57442.36714705992,58741.0,35930.0,65535.0,1.542499885E9,5583.967654824062,0.450791490201442,6.3927856051132474
