LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID39741,39741,0,92.8789291381836,218.88750000000002,0.0,0.0,0.0,0,3.5,1,,26783.49146110057,37748.0,0.0,53289.0,4.23447E7,20243.153577949874,0.20537578612189553,0.45086424107259243
ID39742,39742,1,148.7624969482422,227.9875,0.0,0.0,0.0,0,3.5,1,,27294.4440227704,34269.0,0.0,56224.0,4.3152516E7,21219.800661746045,0.3048963902332241,0.6010895822243374
ID39743,39743,2,154.1651611328125,23.818901870478598,4.994543215659397,0.0,0.0,0,3.5,1,,43065.95825426945,43478.0,26844.0,52002.0,6.808728E7,5554.649771869481,0.3149576704016359,3.71405085640229
ID39744,39744,3,97.08830261230469,42.66791401487365,9.561912922190745,0.0,0.0,0,3.5,1,,23164.563567362427,23619.0,13474.0,29441.0,3.6623175E7,3562.1402408498675,0.33650866504412197,3.2746702726729446
ID39745,39745,4,87.26695251464844,320.7134097697432,12.163404591892824,0.0,0.0,0,3.5,1,,19929.935483870966,20245.0,11634.0,27117.0,3.1509228E7,3653.9453079591326,0.34751760779729346,2.8133010688329048
ID39746,39746,5,143.1315155029297,314.57319239590987,24.929822165098866,0.0,0.0,0,3.5,1,,58704.80202403542,61364.0,39305.0,65535.0,9.2812292E7,7695.685413459421,0.16333140530137166,2.142015275132695
ID39747,39747,6,85.56133270263672,45.851238476114034,28.92574383709512,0.0,0.0,0,3.5,1,,19036.207463630613,19382.0,10986.0,25407.0,3.0096244E7,3214.745501665084,0.3703192358601526,3.200503784496717
ID39748,39748,7,136.26063537597656,309.3884913674379,29.515963830022738,0.0,0.0,0,3.5,1,,58717.1853257432,65535.0,29970.0,65535.0,9.283187E7,9529.467955804075,0.14817966232205657,1.59039617103765
ID39749,39749,8,101.2251968383789,206.07845070491223,30.877436941226176,0.0,0.0,0,3.5,1,,30868.643896268186,32070.0,19584.0,37044.0,4.8803326E7,4037.4685834505763,0.24599672149366206,3.018914476007204
ID39750,39750,9,67.42664337158203,202.32901350929637,36.196030032302325,0.0,0.0,0,3.5,1,,26259.786843769765,26911.0,16686.0,34041.0,4.1516723E7,4135.376109291049,0.16422642745371704,1.7914791986050762
ID39751,39751,10,112.40438079833984,315.8783312681335,36.98297337816479,0.0,0.0,0,3.5,1,,56519.04048070841,57999.0,36636.0,65535.0,8.9356603E7,6836.084673659972,0.12286321655107814,1.809307436897908
ID39752,39752,11,56.59490203857422,256.1114967974407,41.03047801859983,0.0,0.0,0,3.5,1,,26516.698924731183,26647.0,19348.0,31600.0,4.1922901E7,2331.9716095564563,0.12768737336368505,2.575048599447527
ID39753,39753,12,80.33538818359375,82.85395809565448,46.34723781667805,0.0,0.0,0,3.5,1,,19240.254901960783,19231.0,14112.0,24381.0,3.0418843E7,2271.7108533965234,0.3414297263898077,4.311428299353745
ID39754,39754,13,84.86347198486328,179.54841289645483,51.497392032700944,0.0,0.0,0,3.5,1,,25391.1669829222,25766.0,18289.0,30605.0,4.0143435E7,2452.3569959103006,0.258690802153634,4.2558948987359715
ID39755,39755,,60.12567138671875,174.5332873642201,54.54655968837302,0.0,0.0,0,3.5,1,,21848.98228969007,22327.0,14306.0,28385.0,3.4543241E7,3211.7026514304075,0.18299000519970554,2.104612629192585
ID39756,39756,14,67.88166809082031,52.1761212542497,68.17881040349594,0.0,0.0,0,3.5,1,,19444.714737507908,20085.0,10507.0,25437.0,3.0742094E7,3167.130907066816,0.2459829504869902,2.4241442781442655
ID39757,39757,15,113.76763153076172,138.65884728249344,77.70626032037751,0.0,0.0,0,3.5,1,,31841.686907020874,32976.0,19093.0,41343.0,5.0341707E7,5995.564040991665,0.2550936791790693,2.1588356060483673
ID39758,39758,16,94.3714828491211,141.17710003906393,84.36657220404389,0.0,0.0,0,3.5,1,,37338.163820366855,38190.0,28459.0,42317.0,5.9031637E7,2932.849554265619,0.17370808052883396,3.7683661470527645
ID39759,39759,17,86.80233001708984,260.484452692541,89.34883143882803,0.0,0.0,0,3.5,1,,17370.86337760911,17011.0,10406.0,25078.0,2.7463335E7,3563.6626939866774,0.40619227620938736,2.8160590829184695
ID39760,39760,18,61.95645523071289,247.31409644507224,90.63504087318523,0.0,0.0,0,3.5,1,,15909.384566729917,15850.0,10612.0,20285.0,2.5152737E7,1943.9626810150917,0.3094196384541609,3.867804162066375
ID39761,39761,19,91.0486831665039,225.4241222017643,100.8695318591168,0.0,0.0,0,3.5,1,,36192.55787476281,37330.0,24399.0,42827.0,5.7220434E7,4040.359267453548,0.17567987431886303,2.6770853488811497
ID39762,39762,20,164.6858367919922,119.64569264205012,104.07229000956958,0.0,0.0,0,3.5,1,,36179.620493358634,35666.0,24921.0,49125.0,5.719998E7,5814.135520180351,0.3648721198894793,3.3270365321261006
ID39763,39763,21,76.02011108398438,304.1919794891571,107.55239892851039,0.0,0.0,0,3.5,1,,26149.95129664769,26420.0,19821.0,31615.0,4.1343073E7,2695.111026957233,0.20252361814908776,3.268182361554747
ID39764,39764,22,149.52197265625,152.09840028368072,108.6693161328025,0.0,0.0,0,3.5,1,,62660.01707779886,64153.0,50992.0,65535.0,9.9065487E7,3502.9301758380357,0.16565673508894946,5.084256403554737
