LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID21377,21377,36,109.91136169433594,82.5687598211741,96.26362529392229,0.0,0.0,0,3.5,1,,27851.95762175838,27688.0,19147.0,35683.0,4.4033945E7,3627.5181195545547,0.3032145404135891,3.572812603433295
ID21379,21379,37,147.83303833007812,140.4138979004898,104.07577886898892,0.0,0.0,0,3.5,1,,45276.65844402277,45132.0,32718.0,54082.0,7.1582397E7,4259.30858443514,0.24087962789317088,4.127011453719556
ID21381,21381,38,103.86201477050781,36.16460184155693,112.33997340151463,0.0,0.0,0,3.5,1,,19394.40860215054,19268.0,12417.0,26781.0,3.066256E7,3664.5561309299196,0.47253974965169426,3.396694424999511
ID21383,21383,39,145.5200653076172,144.1208708543537,113.36556433723798,0.0,0.0,0,3.5,1,,35662.146742567995,36494.0,22267.0,45988.0,5.6381854E7,5821.36929300501,0.3247408394662281,3.003435512997395
ID21385,21385,40,100.99271392822266,114.43763363834663,117.3164133880409,0.0,0.0,0,3.5,1,,19561.498418722327,19546.0,11213.0,27598.0,3.0926729E7,3989.49511710395,0.4390299056371747,2.9918406700517504
ID21386,21386,41,102.4404067993164,108.41575826165857,127.22794017418272,0.0,0.0,0,3.5,1,,19674.666666666668,19439.0,11494.0,28120.0,3.1105648E7,4075.4352041684597,0.4418693964307449,2.958907480562487
ID21387,21387,42,118.32271575927734,286.8463104518484,129.1969129086791,0.0,0.0,0,3.5,1,,28502.44212523719,29211.0,17254.0,35801.0,4.5062361E7,4298.2746707883625,0.33905096596540657,3.3580393619334616
ID21390,21390,43,91.06859588623047,189.88696494850026,133.90463154739024,0.0,0.0,0,3.5,1,,16999.135357368756,16956.0,10038.0,22716.0,2.6875633E7,3137.9636847372976,0.48540533704805583,3.5405316540997243
ID21392,21392,44,129.4532928466797,296.28270974436316,136.31705168008915,0.0,0.0,0,3.5,1,,30797.519924098673,30908.0,19849.0,39005.0,4.8690879E7,4571.755906791178,0.3373850547376582,3.398850644085395
ID21394,21394,45,116.24935150146484,68.50056660606556,136.64642586562906,0.0,0.0,0,3.5,1,,21508.777356103732,21016.0,13393.0,32078.0,3.4005377E7,4644.579554327201,0.45881408028131965,2.9129706208296255
ID21396,21396,46,180.91714477539062,81.69234386339399,142.40286939856531,0.0,0.0,0,3.5,1,,37004.52371916509,37297.0,20244.0,50651.0,5.8504152E7,7208.257494995048,0.4006400239571323,2.93685377096046
ID21397,21397,47,167.72116088867188,259.5908184885435,148.84142763742724,0.0,0.0,0,3.5,1,,35382.39215686275,35162.0,25712.0,45556.0,5.5939562E7,4926.633737434161,0.4077855807539308,4.1606603409176595
ID21400,21400,48,90.81967163085938,65.86308358826732,177.37284847769405,0.0,0.0,0,3.5,1,,20538.40860215054,20741.0,10922.0,27514.0,3.2471224E7,3340.751666919771,0.35463877972773666,3.2189580087990817
ID21402,21402,49,165.60304260253906,93.12397190483154,178.13682589341494,0.0,0.0,0,3.5,1,,44546.71030993042,45413.0,28223.0,55729.0,7.0428349E7,6012.656018624805,0.27716339206898477,3.2156493182177623
ID21403,21403,50,170.6377410888672,259.73937161780896,181.9203240182088,0.0,0.0,0,3.5,1,,52011.98418722328,54130.0,32810.0,62634.0,8.2230947E7,7352.985168210732,0.23878931855704824,2.727012770477386
ID21405,21405,51,84.90287780761719,244.6206971563599,187.4956284294407,0.0,0.0,0,3.5,1,,31375.165717900065,31534.0,16996.0,45974.0,4.9604137E7,7529.114743572928,0.1651220701525187,1.1811520391836787
ID21407,21407,52,130.0279083251953,308.1941141819618,190.01110748280806,0.0,0.0,0,3.5,1,,56368.966476913345,57805.0,36166.0,65535.0,8.9119336E7,7975.885493922622,0.1425545157043853,1.7635801635599013
ID21409,21409,53,181.18031311035156,121.91102230287675,190.45887829868428,0.0,0.0,0,3.5,1,,55774.3788741303,56588.0,35720.0,65535.0,8.8179293E7,6358.735917490899,0.2383637301317469,3.3766488468487665
ID21411,21411,56,88.79602813720703,174.25549489941417,190.82134734279623,0.0,0.0,0,3.5,1,,37613.423149905124,37998.0,22486.0,48527.0,5.9466822E7,5732.29373490542,0.1621491335928236,1.8310372886478432
ID21412,21412,54,197.4091796875,251.20484931132452,190.79548962695569,0.0,0.0,0,3.5,1,,57956.25237191651,59477.0,40315.0,65535.0,9.1628835E7,7187.5589340590905,0.2571429781161986,3.2986699741096857
ID21414,21414,55,98.84610748291016,163.48717582441324,191.17218168680049,0.0,0.0,0,3.5,1,,39978.20746363061,41056.0,23443.0,50149.0,6.3205546E7,6322.3428320556495,0.16168305910169514,1.760159940370777
ID21416,21416,57,149.26126098632812,0.0,192.07500000000002,0.0,0.0,0,3.5,1,,22398.068943706516,30613.0,0.0,44945.0,3.5411347E7,17155.817041286795,0.3892527363465382,0.7316099108940918
ID21417,21417,58,133.118896484375,326.6244785368889,194.4248306435624,0.0,0.0,0,3.5,1,,35635.3605313093,36127.0,24694.0,43508.0,5.6339505E7,4387.776986424123,0.30225638371720026,3.7700368367567236
ID21419,21419,59,142.8125762939453,49.29495875553065,195.7042468362932,0.0,0.0,0,3.5,1,,57430.307400379505,60521.0,31517.0,65535.0,9.0797316E7,8971.853015586676,0.16213120832763675,1.7860780856397507
