LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2816,2816,60,93.07823181152344,293.31115538285394,50.17624805700916,0.0,0.0,0,3.5,1,,27215.024667931688,27651.0,17944.0,34411.0,4.3026954E7,4201.923567951956,0.2473267377904244,2.568510921820961
ID2817,2817,61,203.914306640625,322.90011004059335,53.36959428533253,0.0,0.0,0,3.5,1,,58563.35294117647,60671.0,41181.0,65535.0,9.2588661E7,7160.2659936208365,0.2635840149704187,3.4122568865871994
ID2818,2818,81,65.6048812866211,84.39231447189361,62.42469736174769,0.0,0.0,0,3.5,1,,21443.31246046806,21732.0,13475.0,26967.0,3.3901877E7,2802.958411073093,0.20993115198417195,2.654736652795793
ID2819,2819,62,72.16216278076172,86.15328305138064,66.83124751770099,0.0,0.0,0,3.5,1,,21096.96837444655,21279.0,13029.0,27553.0,3.3354307E7,3223.6799178769625,0.24084395233496675,2.5404854438527233
ID2820,2820,83,77.05811309814453,232.15215815094504,68.31578867056555,0.0,0.0,0,3.5,1,,28273.089184060722,28669.0,14404.0,38883.0,4.4699754E7,5642.206743775832,0.18030390882240452,1.5309660484098118
ID2821,2821,64,68.53746795654297,3.126996326547056,71.15309724354564,0.0,0.0,0,3.5,1,,21874.870967741936,22226.0,14955.0,26780.0,3.4584171E7,2668.1201643082427,0.41618886535263167,4.818805441689437
ID2822,2822,63,149.9119110107422,224.81969711808628,71.66332533744217,0.0,0.0,0,3.5,1,,43669.98418722328,44023.0,28563.0,53346.0,6.9042245E7,4988.022176123183,0.25600603838439623,3.568971964696355
ID2823,2823,65,57.281288146972656,132.12995607044354,76.28664324522302,0.0,0.0,0,3.5,1,,16158.983554712207,16450.0,9703.0,21463.0,2.5547353E7,2382.4262377270757,0.25204915399467387,2.7307908326945634
ID2824,2824,66,98.08625793457031,22.117893646778732,90.11940099478318,0.0,0.0,0,3.5,1,,36020.62745098039,36310.0,28172.0,42903.0,5.6948612E7,3250.1000821560533,0.1854616500491707,3.467776865543338
ID2825,2825,67,78.2572021484375,96.20932744289377,90.42331687432949,0.0,0.0,0,3.5,1,,16997.288425047438,16851.0,9404.0,24179.0,2.6872713E7,3148.808445166725,0.36170640476140653,2.8677158509503813
ID2826,2826,68,137.35067749023438,153.24441482311582,92.91006278854816,0.0,0.0,0,3.5,1,,23255.213788741305,22886.0,12896.0,36174.0,3.6766493E7,5887.040350824868,0.5144953576101797,2.683903109431075
ID2827,2827,69,97.73736572265625,110.0200387629604,106.12140661554068,0.0,0.0,0,3.5,1,,32182.11448450348,32587.0,22304.0,39040.0,5.0879923E7,3622.617851974172,0.22274076632704976,3.236587598907235
ID2828,2828,84,127.00579071044922,72.41923424213941,107.57105594986847,0.0,0.0,0,3.5,1,,61625.29475015813,65535.0,44061.0,65535.0,9.7429591E7,5645.266523102733,0.13081367097314225,2.5256120305345604
ID2829,2829,70,78.85161590576172,204.2770132691648,108.25731202521703,0.0,0.0,0,3.5,1,,22583.78874130297,22940.0,16599.0,26157.0,3.570497E7,1714.2928666236405,0.2859124901260476,5.858190545316691
ID2830,2830,71,91.30416107177734,117.96748817449557,112.88548820767586,0.0,0.0,0,3.5,1,,27946.542694497155,28601.0,16555.0,35789.0,4.4183484E7,4633.653666546393,0.23356543320486253,2.2839200231596446
ID2831,2831,72,158.77154541015625,73.82671188622547,114.52129315069557,0.0,0.0,0,3.5,1,,60027.75268817204,65535.0,33451.0,65535.0,9.4903877E7,8306.48959367404,0.18150771324127768,2.2203583852238826
ID2832,2832,73,70.17953491210938,100.91071108945219,121.00103885106604,0.0,0.0,0,3.5,1,,24457.528779253636,25037.0,16004.0,29540.0,3.8667353E7,2725.9234073515704,0.19805670613172655,2.9664777656953025
ID2833,2833,74,82.4216537475586,60.425643667548336,128.93297124814256,0.0,0.0,0,3.5,1,,30518.340290955093,30548.0,23662.0,36885.0,4.8249496E7,2716.815813854016,0.18086234310464078,3.4409597286658085
ID2834,2834,75,115.82120513916016,175.60629178297663,130.09601274411858,0.0,0.0,0,3.5,1,,20186.272612270714,20231.0,10575.0,30153.0,3.1914497E7,4626.963564398196,0.5139023550039894,2.961916379538005
ID2835,2835,76,101.8352279663086,256.5973543171413,134.59884755707682,0.0,0.0,0,3.5,1,,25720.888678051866,26402.0,13631.0,33114.0,4.0664725E7,4312.962673797942,0.2932219611998483,2.704354926289411
ID2836,2836,77,100.7337417602539,43.659531096232165,139.57008204777776,0.0,0.0,0,3.5,1,,31041.65907653384,31845.0,17603.0,40657.0,4.9076863E7,5293.809622786337,0.21915304732672153,2.1081227102878697
ID2837,2837,85,70.08344268798828,50.92837484802023,140.57777798094986,0.0,0.0,0,3.5,1,,29787.06578115117,30589.0,18839.0,36623.0,4.7093351E7,3909.5407646687604,0.14508715263847619,1.9307337570416538
ID2838,2838,78,165.40316772460938,157.3145721721075,140.83107177409943,0.0,0.0,0,3.5,1,,33056.88931056293,33301.0,22056.0,42808.0,5.2262942E7,5101.436994974015,0.44692581322265273,4.003027986912971
ID2839,2839,79,135.1500244140625,17.098518721966617,141.37707510715634,0.0,0.0,0,3.5,1,,25979.47311827957,25646.0,17352.0,35766.0,4.1073547E7,4422.444841060197,0.4595460009270406,3.6992110834467136
